date,ticker,close,ma50,ma200,dist_ma50_pct,dist_ma200_pct,ma50_gt_ma200,breakout_3m,atr_pct,dd_3m_pct,ret_1m_pct,ret_3m_pct,score
2026-03-02,BAC,49.81,53.8644,50.1047,-7.527,-0.588,1,0,3.562,-12.996,-6.161,-5.513,20
2026-03-02,PLTR,145.17,160.2216,161.5874,-9.394,-10.16,0,0,4.647,-25.236,-4.405,-12.427,0
2026-03-02,QBTS,18.94,24.0896,22.3564,-21.377,-15.282,1,0,7.959,-41.162,-18.432,-15.484,20
2026-03-02,OKLO,64.68,79.2228,84.9996,-18.357,-23.906,0,0,7.956,-42.069,-24.826,-27.096,0
2026-03-02,RKLB,70.97,77.0284,53.1454,-7.865,33.539,1,0,7.39,-26.303,-17.169,69.258,55
2026-03-02,NBIS,91.01,94.0762,81.6894,-3.259,11.41,1,0,8.658,-16.297,-4.109,-3.886,55
2026-03-02,IREN,41.39,46.1557,35.4448,-10.325,16.773,1,0,9.023,-34.239,-30.832,-14.572,55
2026-03-02,ZETA,17.38,19.1142,17.7464,-9.073,-2.064,1,0,6.927,-28.77,-10.734,-4.348,20
2026-03-02,OPEN,5.05,5.6875,4.8927,-11.209,3.214,1,0,8.652,-34.416,-9.498,-35.09,55
2026-03-02,EOSE,5.9,13.1542,10.2611,-55.147,-42.501,1,0,22.217,-67.618,-63.377,-58.48,20
2026-03-02,NVTS,9.55,8.8821,7.9794,7.52,19.684,1,0,7.756,-15.412,0.951,14.508,75
2026-03-02,CIFR,15.76,16.3712,11.982,-3.733,31.531,1,0,9.806,-22.555,-10.96,-17.702,55
2026-03-02,NUAI,4.4,4.866,2.5982,-9.577,69.347,1,0,11.45,-45.409,-40.299,-13.215,55
2026-03-02,CAN,0.509,0.6703,0.8455,-24.059,-39.799,0,0,9.239,-49.604,-24.815,-44.674,0
2026-03-02,ONDS,10.67,10.783,6.378,-1.048,67.293,1,0,9.91,-23.84,-5.324,29.49,55
